latitude,longitude,neo_altitude,num_satellites,hdc_temperature,bmp_temperature,humidity,pressure,mpu_altitude,time
-33.368445,-70.69026833333334,523.6,04,28.38,29.73,47.69,959.14,-0.0,"15/02, 16:04:54"
-33.368458333333336,-70.690265,522.9,05,28.45,29.84,47.67,959.15,-0.0,"15/02, 16:05:04"
-33.368386666666666,-70.69026,521.2,05,28.45,29.77,48.46,959.24,0.03,"15/02, 16:05:14"
-33.36836,-70.69025333333333,524.3,05,28.44,29.77,48.28,959.21,-0.0,"15/02, 16:05:24"
-33.36845,-70.690235,531.5,04,28.39,29.8,47.6,959.17,-0.0,"15/02, 16:05:34"
-33.36846,-70.69024166666667,528.2,05,28.44,29.84,47.79,959.22,-0.0,"15/02, 16:05:44"
-33.368431666666666,-70.69025,526.0,05,28.42,29.84,47.79,959.19,0.05,"15/02, 16:05:54"
-33.36847,-70.69027166666666,527.0,06,28.37,29.74,47.79,959.22,0.02,"15/02, 16:06:04"
-33.368485,-70.69025333333333,530.8,07,28.3,29.69,47.99,959.2,0.0,"15/02, 16:06:14"
-33.368446666666664,-70.69021833333333,534.1,04,28.33,29.72,47.79,959.16,0.0,"15/02, 16:06:24"
-33.368341666666666,-70.69021333333333,535.7,04,28.33,29.68,47.79,959.21,0.0,"15/02, 16:06:34"
-33.36830333333333,-70.690205,540.1,05,28.02,29.46,47.81,959.24,0.14,"15/02, 16:06:44"
-33.368291666666664,-70.690225,541.0,05,28.1,29.47,48.02,959.17,-0.0,"15/02, 16:06:54"
-33.368428333333334,-70.69022,548.9,04,28.1,29.44,48.21,959.15,0.0,"15/02, 16:07:04"
-33.36848166666667,-70.69022666666666,543.8,05,28.01,29.35,48.71,959.2,-0.0,"15/02, 16:07:14"
-33.368516666666665,-70.69023333333334,544.2,05,28.08,29.37,48.8,959.16,0.05,"15/02, 16:07:24"
-33.36853166666667,-70.69024,546.1,05,28.07,29.42,49.1,959.17,0.01,"15/02, 16:07:34"
-33.36855833333333,-70.69026333333333,546.2,05,28.14,29.48,48.61,959.19,-0.0,"15/02, 16:07:44"
-33.36854,-70.69035,534.7,05,28.12,29.49,48.61,959.17,-0.0,"15/02, 16:07:54"
-33.368433333333336,-70.69043,526.9,05,28.12,29.49,48.61,959.18,0.02,"15/02, 16:08:04"
-33.368336666666664,-70.69038666666667,528.5,06,28.17,29.52,48.51,959.19,0.08,"15/02, 16:08:14"
-33.36846,-70.69041833333333,509.8,04,28.11,29.5,48.51,959.2,0.0,"15/02, 16:08:25"
-33.368458333333336,-70.69035166666667,520.7,06,27.95,29.28,48.53,959.17,0.0,"15/02, 16:08:35"
